ID_ARCs_Master	From_ID_Master_Node	To_ID_Master_Node	Infra_From	Infra_To	Power_Capacity	Definition
1215	2509	148	Power	TER	100	Power_Traffic_Line
1216	2509	149	Power	TER	100	Power_Traffic_Line
1217	3008	150	Power	TER	100	Power_Traffic_Line
1218	3008	151	Power	TER	100	Power_Traffic_Line
1219	3006	155	Power	TER	100	Power_Traffic_Line
1220	3006	156	Power	TER	100	Power_Traffic_Line
1221	3005	157	Power	TER	100	Power_Traffic_Line
1222	3005	158	Power	TER	100	Power_Traffic_Line
1223	3005	159	Power	TER	100	Power_Traffic_Line
1224	3005	160	Power	TER	100	Power_Traffic_Line
1225	3005	161	Power	TER	100	Power_Traffic_Line
1226	3006	163	Power	TER	100	Power_Traffic_Line
1227	2510	198	Power	TER	100	Power_Traffic_Line
1228	3003	197	Power	TER	100	Power_Traffic_Line
1229	3009	222	Power	TER	100	Power_Traffic_Line
1230	2502	214	Power	TER	100	Power_Traffic_Line
1231	2502	213	Power	TER	100	Power_Traffic_Line
1232	3008	219	Power	TER	100	Power_Traffic_Line
1233	3013	216	Power	TER	100	Power_Traffic_Line
1234	3011	204	Power	TER	100	Power_Traffic_Line
1235	2505	206	Power	TER	100	Power_Traffic_Line
1236	3003	205	Power	TER	100	Power_Traffic_Line
1237	2513	217	Power	TER	100	Power_Traffic_Line
1238	2507	211	Power	TER	100	Power_Traffic_Line
1239	3005	167	Power	TER	100	Power_Traffic_Line
1240	3005	168	Power	TER	100	Power_Traffic_Line
1241	3005	169	Power	TER	100	Power_Traffic_Line
1242	3005	170	Power	TER	100	Power_Traffic_Line
1243	2505	190	Power	TER	100	Power_Traffic_Line
1244	3010	173	Power	TER	100	Power_Traffic_Line
1245	2505	191	Power	TER	100	Power_Traffic_Line
1246	3008	194	Power	TER	100	Power_Traffic_Line
1247	3008	195	Power	TER	100	Power_Traffic_Line
1248	2510	223	Power	TER	100	Power_Traffic_Line
1249	2506	235	Power	TER	100	Power_Traffic_Line
1250	3002	227	Power	TER	100	Power_Traffic_Line
1251	2502	240	Power	TER	100	Power_Traffic_Line
1147	6003	2509	Power	Power	100000	Trans_Line
1148	6008	2508	Power	Power	100000	Trans_Line
814	3002	5639	Power	TER	1000	CF_Dist_Line
815	3002	5755	Power	TER	1000	CF_Dist_Line
816	3013	5563	Power	TER	1000	CF_Dist_Line
817	3005	5564	Power	TER	1000	CF_Dist_Line
818	3008	5565	Power	TER	1000	CF_Dist_Line
819	3003	5568	Power	TER	1000	CF_Dist_Line
820	2507	5567	Power	TER	1000	CF_Dist_Line
821	3011	5566	Power	TER	1000	CF_Dist_Line
822	2513	5501	Power	TER	1000	CF_Dist_Line
823	3012	5502	Power	TER	1000	CF_Dist_Line
824	3013	5609	Power	TER	1000	CF_Dist_Line
825	3008	5610	Power	TER	1000	CF_Dist_Line
826	2505	5511	Power	TER	1000	CF_Dist_Line
827	3008	5612	Power	TER	1000	CF_Dist_Line
1024	2509	5714	Power	TER	1000	CF_Dist_Line
1025	2509	5671	Power	TER	1000	CF_Dist_Line
1026	3014	5687	Power	TER	1000	CF_Dist_Line
