ID_Master_Node	Definition	Infras_Type	Power_Use	Node_Type	MinGX	MinGY		
5508	Bus_Terminal	TER	25	2	35285446	24870090		
5509	Bus_Terminal	TER	25	2	34714807	25263543		
5510	Bus_Terminal	TER	25	2	33924559	24995836		
5511	Ferry	TER	100	2	33926207	24531732		
5512	Ferry	TER	100	2	34061507	24363577		
5513	Fire_Station	TER	75	0	35408077	25156935		
5514	Fire_Station	TER	75	0	33227071	24935209		
5515	Fire_Station	TER	75	0	34364061	24929795		
5516	Fire_Station	TER	75	0	34221539	24679585		
5517	Fire_Station	TER	75	0	34113662	24329613		
5518	Fire_Station	TER	75	0	33334083	24787594		
5519	Fire_Station	TER	75	0	33615924	25092089		
5520	Fire_Station	TER	75	0	33502757	25201656		
5521	Fire_Station	TER	75	0	34489968	25043724		
5522	Fire_Station	TER	75	0	34854897	25277664		
5523	Fire_Station	TER	75	0	35345958	25000392		
5524	Fire_Station	TER	75	0	35370580	25022506		
5525	Fire_Station	TER	75	0	33961662	24979308		
5526	Fire_Station	TER	75	0	33093318	24349859		
5527	Fire_Station	TER	75	0	33158037	24373240		
5528	Fire_Station	TER	75	0	33920519	24979384		
5529	Fire_Station	TER	75	0	33947460	25018997		
5530	Fire_Station	TER	75	0	33926471	25005272		
5531	Fire_Station	TER	75	0	33937070	24992935		
5532	Fire_Station	TER	75	0	35284774	24848556		
5533	Fire_Station	TER	75	0	33903169	24934232		
5534	Fire_Station	TER	75	0	33963534	24862505		
5535	Fire_Station	TER	75	0	33916574	24823309		
5536	Fire_Station	TER	75	0	33224112	25185699		
5537	Fire_Station	TER	75	0	34093997	24637359		
5538	Group_Home	TER	50	2	35407360	25231775		
5539	Group_Home	TER	50	2	35331495	24953031		
5540	Group_Home	TER	50	2	33458483	25242116		
5541	Group_Home	TER	50	2	35414214	25033102		
5542	Group_Home	TER	50	2	35370481	25169936		
5543	Group_Home	TER	50	2	33959406	24576280		
5544	Group_Home	TER	50	2	33925290	24865114		
5545	Group_Home	TER	50	2	33996662	24954922		
5546	Group_Home	TER	50	2	33966590	25067109		
5547	Group_Home	TER	50	2	33362271	24575724		
5548	Group_Home	TER	50	2	33240376	24414922		
5549	Group_Home	TER	50	2	33467006	24464890		
5550	Group_Home	TER	50	2	33604511	24728595		
5551	Group_Home	TER	50	2	33560789	25002078		
5552	Group_Home	TER	50	2	33314974	25029600		
5553	Group_Home	TER	50	2	35422079	25148053		
5554	Group_Home	TER	50	2	33243429	24774119		
5555	Group_Home	TER	50	2	33881514	25252893		
5556	Group_Home	TER	50	2	35149011	25348669		
5557	Group_Home	TER	50	2	34406064	24932458		
5558	Group_Home	TER	50	2	34190343	24883824		
5559	Group_Home	TER	50	2	34157609	25110108		
5560	Group_Home	TER	50	2	35308963	24774294		
5561	Group_Home	TER	50	2	33955550	24631301		
5562	Group_Home	TER	50	2	33801524	25088753		
5563	Hospital	TER	500	0	33192088	24416292		
5564	Hospital	TER	500	0	33935927	24978046		
5565	Hospital	TER	500	0	33933900	25015329		
5566	Hospital	TER	500	0	33937002	24730159		
5567	Hospital	TER	500	0	35011462	25152809		
5568	Hospital	TER	500	0	35372282	25113665		
5569	Hotel	TER	100	2	33937751	24766448		
5570	Hotel	TER	100	2	33241264	24847694		
5571	Hotel	TER	100	2	34127882	24356560		
5572	Hotel	TER	100	2	33298582	24696739		
5573	Hotel	TER	100	2	34061008	24671893		
5574	Hotel	TER	100	2	34220191	24620506		
5575	Hotel	TER	100	2	33648769	25133482		
5576	Hotel	TER	100	2	34103146	24350501		
5577	Hotel	TER	100	2	33932403	24981071		
5578	Hotel	TER	100	2	34197852	24401660		
5579	Hotel	TER	100	2	34074518	24322682		
5580	Hotel	TER	100	2	33375944	24414495		
5581	Hotel	TER	100	2	33210857	24351635		
5582	Hotel	TER	100	2	33169856	24338016		
5583	Hotel	TER	100	2	33177497	24390113		
5584	Hotel	TER	100	2	33973808	24529372		
5585	Hotel	TER	100	2	35359294	25043668		
5586	Hotel	TER	100	2	33893990	24896105		
5587	Hotel	TER	100	2	35240983	24883473		
5588	Hotel	TER	100	2	34239678	24795166		
5589	Hotel	TER	100	2	34096815	24891935		
5590	Hotel	TER	100	2	33845872	25029161		
5591	Hotel	TER	100	2	33267054	24690933		
5592	Hotel	TER	100	2	34103701	24951415		
5593	Hotel	TER	100	2	34799840	25293109		
5594	Hotel	TER	100	2	34901206	25234221		
5595	Hotel	TER	100	2	33918226	24961267		
5596	Hotel	TER	100	2	35058320	25172168		
5597	Hotel	TER	100	2	33557974	25245231		
5598	Hotel	TER	100	2	35402318	25061702		
5599	Hotel	TER	100	2	35419624	25125732		
5600	Hotel	TER	100	2	35313900	24837363		
5601	Hotel	TER	100	2	33941883	24977033		
5602	Hotel	TER	100	2	33945959	25024816		
5603	Hotel	TER	100	2	33929764	25008632		
5604	Hotel	TER	100	2	34026418	24945956		
5605	Hotel	TER	100	2	33931914	24967869		
5606	Hotel	TER	100	2	33405562	25124215		
5607	Hotel	TER	100	2	35025258	25243466		
5608	Hotel	TER	100	2	35170805	25261775		
5609	Jail	TER	100	2	33101509	24550879		
5610	Jail	TER	100	2	33912245	25088811		
5611	Police_Station	TER	50	0	33196574	24376203		
5612	Police_Station	TER	50	0	33927824	24991174		
5613	Police_Station	TER	50	0	33943263	25007254		
5614	Police_Station	TER	50	0	33931863	25022389		
5615	Police_Station	TER	50	0	33944564	24950170		
5616	Police_Station	TER	50	0	35385953	25090507		
5617	Police_Station	TER	50	0	35300333	24916075		
5618	Police_Station	TER	50	0	35327904	24871445		
5619	Police_Station	TER	50	0	35057057	25210986		
5620	Police_Station	TER	50	0	35185992	25141130		
5621	Police_Station	TER	50	0	34982781	25295832		
5622	Police_Station	TER	50	0	34013438	24792861		
5623	Police_Station	TER	50	0	33985030	24684572		
5624	Police_Station	TER	50	0	33875282	24800185		
5625	Police_Station	TER	50	0	33536826	25149160		
5626	Police_Station	TER	50	0	33269109	25056443		
