ID_ARCs_Master	From_ID_Master_Node	To_ID_Master_Node	Infra_From	Infra_To	Power_Capacity	Definition
443	2005	1031	Power	Comm	1000	Dist_Line
444	2012	1013	Power	Comm	1000	Dist_Line
445	2012	1012	Power	Comm	1000	Dist_Line
446	2010	1017	Power	Comm	1000	Dist_Line
447	2010	1016	Power	Comm	1000	Dist_Line
448	2010	1015	Power	Comm	1000	Dist_Line
449	2010	1030	Power	Comm	1000	Dist_Line
450	2014	1018	Power	Comm	1000	Dist_Line
451	2014	1019	Power	Comm	1000	Dist_Line
452	2003	1022	Power	Comm	1000	Dist_Line
453	2003	1020	Power	Comm	1000	Dist_Line
454	2003	1033	Power	Comm	1000	Dist_Line
455	2011	1023	Power	Comm	1000	Dist_Line
456	2011	1034	Power	Comm	1000	Dist_Line
457	2011	1035	Power	Comm	1000	Dist_Line
458	2010	1032	Power	Comm	1000	Dist_Line
459	2010	1021	Power	Comm	1000	Dist_Line
460	2014	2003	Power	Power	1000000	Trans_Line
461	2224	2217	Power	Power	1000000	Trans_Line
462	2228	2217	Power	Power	1000000	Trans_Line
463	2217	2230	Power	Power	1000000	Trans_Line
464	2217	2229	Power	Power	1000000	Trans_Line
465	2225	2014	Power	Power	1000000	Trans_Line
466	2226	2014	Power	Power	1000000	Trans_Line
467	2014	2227	Power	Power	1000000	Trans_Line
468	2014	2231	Power	Power	1000000	Trans_Line
469	2217	2232	Power	Power	1000000	Trans_Line
470	2001	2217	Power	Power	2000000	Trans_Line
471	2220	2217	Power	Power	1000000	Trans_Line
472	2218	2219	Power	Power	1000000	Trans_Line
473	2219	2220	Power	Power	1000000	Trans_Line
474	2219	2217	Power	Power	1000000	Trans_Line
475	2311	2233	Power	Power	1000000	Trans_Line
476	2311	2011	Power	Power	1000000	Trans_Line
477	2003	2311	Power	Power	1000000	Trans_Line
478	2235	2217	Power	Power	1000000	Trans_Line
479	2003	2223	Power	Power	1000000	Trans_Line
480	2223	2008	Power	Power	1000000	Trans_Line
481	2223	2234	Power	Power	1000000	Trans_Line
482	2003	2010	Power	Power	1000000	Trans_Line
483	2010	2004	Power	Power	1000000	Trans_Line
484	2337	2217	Power	Power	1000000	Trans_Line
485	2221	2003	Power	Power	1000000	Trans_Line
486	2221	2012	Power	Power	1000000	Trans_Line
